"Plot Title: 86.3.s2"
"#","Date Time, GMT-05:00","Abs Pres, kPa (LGR S/N: 10766687, SEN S/N: 10766687, LBL: pressure)","Temp, °C (LGR S/N: 10766687, SEN S/N: 10766687, LBL: temperature)","Coupler Detached (LGR S/N: 10766687, SEN S/N: 10766687)","Coupler Attached (LGR S/N: 10766687, SEN S/N: 10766687)","Host Connected (LGR S/N: 10766687, SEN S/N: 10766687)","End Of File (LGR S/N: 10766687, SEN S/N: 10766687)"
430,01/31/20 09:03:43 AM,95.471,3.472,,,,
431,01/31/20 09:13:43 AM,95.493,3.472,,,,
432,01/31/20 09:23:43 AM,95.504,3.472,,,,
433,01/31/20 09:33:43 AM,95.504,3.472,,,,
434,01/31/20 09:43:43 AM,95.504,3.472,,,,
435,01/31/20 09:53:43 AM,95.504,3.472,,,,
436,01/31/20 10:03:43 AM,95.493,3.472,,,,
437,01/31/20 10:13:43 AM,95.493,3.472,,,,
438,01/31/20 10:23:43 AM,95.482,3.472,,,,
439,01/31/20 10:33:43 AM,95.493,3.472,,,,
440,01/31/20 10:43:43 AM,95.482,3.472,,,,
441,01/31/20 10:53:43 AM,95.471,3.472,,,,
442,01/31/20 11:03:43 AM,95.471,3.472,,,,
443,01/31/20 11:13:43 AM,95.471,3.472,,,,
444,01/31/20 11:23:43 AM,95.471,3.472,,,,
445,01/31/20 11:33:43 AM,95.461,3.472,,,,
446,01/31/20 11:43:43 AM,95.439,3.472,,,,
447,01/31/20 11:53:43 AM,95.450,3.472,,,,
448,01/31/20 12:03:43 PM,95.417,3.472,,,,
449,01/31/20 12:13:43 PM,95.428,3.472,,,,
